vehicle,euroname,euroclass,technology,proportion,sourceCell,userCell,poltype,year,area
Petrol Car,1Pre-Euro 1,0,Standard,0.0,B69,D69,NOx,2015,England (not London)
Petrol Car,2Euro 1,1,Standard,0.0023942653902763312,B70,D70,NOx,2015,England (not London)
Petrol Car,3Euro 2,2,Standard,0.0275963249902377,B71,D71,NOx,2015,England (not London)
Petrol Car,4Euro 3,3,Standard,0.20633719380576263,B72,D72,NOx,2015,England (not London)
Petrol Car,5Euro 4,4,Standard,0.29233056251796086,B73,D73,NOx,2015,England (not London)
Petrol Car,6Euro 5,5,Standard,0.39541629817291496,B74,D74,NOx,2015,England (not London)
Petrol Car,7Euro 6,6,Standard,0.0759253551228476,B75,D75,NOx,2015,England (not London)
Petrol Car,7Euro 6c,6,c,0.0,B76,D76,NOx,2015,England (not London)
Diesel Car,1Pre-Euro 1,0,Standard,0.0,B79,D79,NOx,2015,England (not London)
Diesel Car,2Euro 1,1,Standard,0.0007249030928131902,B80,D80,NOx,2015,England (not London)
Diesel Car,3Euro 2,2,Standard,0.006065642417442237,B81,D81,NOx,2015,England (not London)
Diesel Car,4Euro 3,3,Standard,0.11606374355827705,B82,D82,NOx,2015,England (not London)
Diesel Car,5Euro 4,4,Standard,0.27057661950789047,B83,D83,NOx,2015,England (not London)
Diesel Car,6Euro 5,5,Standard,0.5131618039112721,B84,D84,NOx,2015,England (not London)
Diesel Car,7Euro 6,6,Standard,0.09340728751230502,B85,D85,NOx,2015,England (not London)
Diesel Car,7Euro 6c,6,c,0.0,B86,D86,NOx,2015,England (not London)
Diesel Car,7Euro 6d,6,d,0.0,B87,D87,NOx,2015,England (not London)
Petrol LGV,1Pre-Euro 1,0,Standard,0.0,B91,D91,NOx,2015,England (not London)
Petrol LGV,2Euro 1,1,Standard,0.011367861026628616,B92,D92,NOx,2015,England (not London)
Petrol LGV,3Euro 2,2,Standard,0.06978731990943186,B93,D93,NOx,2015,England (not London)
Petrol LGV,4Euro 3,3,Standard,0.2511511389471799,B94,D94,NOx,2015,England (not London)
Petrol LGV,5Euro 4,4,Standard,0.3128231196285651,B95,D95,NOx,2015,England (not London)
Petrol LGV,6Euro 5,5,Standard,0.35487056048819443,B96,D96,NOx,2015,England (not London)
Petrol LGV,7Euro 6,6,Standard,0.0,B97,D97,NOx,2015,England (not London)
Petrol LGV,7Euro 6c,6,c,0.0,B98,D98,NOx,2015,England (not London)
Diesel LGV,1Pre-Euro 1,0,Standard,0.0,B101,D101,NOx,2015,England (not London)
Diesel LGV,2Euro 1,1,Standard,0.005631062950393152,B102,D102,NOx,2015,England (not London)
Diesel LGV,3Euro 2,2,Standard,0.02200829649554501,B103,D103,NOx,2015,England (not London)
Diesel LGV,4Euro 3,3,Standard,0.11753417225468002,B104,D104,NOx,2015,England (not London)
Diesel LGV,5Euro 4,4,Standard,0.32084460992928465,B105,D105,NOx,2015,England (not London)
Diesel LGV,6Euro 5,5,Standard,0.5339818583700972,B106,D106,NOx,2015,England (not London)
Diesel LGV,7Euro 6,6,Standard,0.0,B107,D107,NOx,2015,England (not London)
Diesel LGV,7Euro 6c,6,c,0.0,B108,D108,NOx,2015,England (not London)
Diesel LGV,7Euro 6d,6,d,0.0,B109,D109,NOx,2015,England (not London)
Rigid HGV,1Pre-Euro I,0,Standard,0.0,B114,D114,NOx,2015,England (not London)
Rigid HGV,2Euro I,1,Standard,0.007847340084610946,B115,D115,NOx,2015,England (not London)
Rigid HGV,3Euro II,2,Standard,0.025783236340404806,B116,D116,NOx,2015,England (not London)
Rigid HGV,4Euro III,3,Standard,0.14166244851838627,B117,D117,NOx,2015,England (not London)
Rigid HGV,5Euro IV,4,Standard,0.13319226883691926,B118,D118,NOx,2015,England (not London)
Rigid HGV,6Euro V_EGR,5,EGR,0.0892909781808371,B119,D119,NOx,2015,England (not London)
Rigid HGV,7Euro V_SCR,5,SCR,0.2678729345425113,B120,D120,NOx,2015,England (not London)
Rigid HGV,8Euro VI,6,Standard,0.3343507934963303,B121,D121,NOx,2015,England (not London)
Rigid HGV,9Euro II SCRRF,2,SCR,0.0,B122,D122,NOx,2015,England (not London)
Rigid HGV,10Euro III SCRRF,3,SCR,0.0,B123,D123,NOx,2015,England (not London)
Rigid HGV,11Euro IV SCRRF,4,SCR,0.0,B124,D124,NOx,2015,England (not London)
Rigid HGV,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B125,D125,NOx,2015,England (not London)
Artic HGV,1Pre-Euro I,0,Standard,0.0,B130,D130,NOx,2015,England (not London)
Artic HGV,2Euro I,1,Standard,0.0008226179783190189,B131,D131,NOx,2015,England (not London)
Artic HGV,3Euro II,2,Standard,0.0036497126333436512,B132,D132,NOx,2015,England (not London)
Artic HGV,4Euro III,3,Standard,0.034704101386309694,B133,D133,NOx,2015,England (not London)
Artic HGV,5Euro IV,4,Standard,0.06199333741774603,B134,D134,NOx,2015,England (not London)
Artic HGV,6Euro V_EGR,5,EGR,0.09442223090356527,B135,D135,NOx,2015,England (not London)
Artic HGV,7Euro V_SCR,5,SCR,0.2832666927106958,B136,D136,NOx,2015,England (not London)
Artic HGV,8Euro VI,6,Standard,0.5211413069700204,B137,D137,NOx,2015,England (not London)
Artic HGV,9Euro II SCRRF,2,SCR,0.0,B138,D138,NOx,2015,England (not London)
Artic HGV,10Euro III SCRRF,3,SCR,0.0,B139,D139,NOx,2015,England (not London)
Artic HGV,11Euro IV SCRRF,4,SCR,0.0,B140,D140,NOx,2015,England (not London)
Artic HGV,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B141,D141,NOx,2015,England (not London)
Buses,1Pre-Euro I,0,Standard,0.0,B146,D146,NOx,2015,England (not London)
Buses,2Euro I,1,Standard,0.0,B147,D147,NOx,2015,England (not London)
Buses,3Euro II,2,Standard,0.012487352175925191,B148,D148,NOx,2015,England (not London)
Buses,4Euro III,3,Standard,0.1969643553830152,B149,D149,NOx,2015,England (not London)
Buses,5Euro IV,4,Standard,0.14784020636813786,B150,D150,NOx,2015,England (not London)
Buses,6Euro V_EGR,5,EGR,0.09582290998141939,B151,D151,NOx,2015,England (not London)
Buses,7Euro V_SCR,5,SCR,0.28746872994425815,B152,D152,NOx,2015,England (not London)
Buses,8Euro VI,6,Standard,0.259416446147244,B153,D153,NOx,2015,England (not London)
Buses,9Euro II SCRRF,2,SCR,0.0,B154,D154,NOx,2015,England (not London)
Buses,10Euro III SCRRF,3,SCR,0.0,B155,D155,NOx,2015,England (not London)
Buses,11Euro IV SCRRF,4,SCR,0.0,B156,D156,NOx,2015,England (not London)
Buses,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B157,D157,NOx,2015,England (not London)
Coaches,1Pre-Euro I,0,Standard,0.0,B161,D161,NOx,2015,England (not London)
Coaches,2Euro I,1,Standard,0.0,B162,D162,NOx,2015,England (not London)
Coaches,3Euro II,2,Standard,0.012487352175925191,B163,D163,NOx,2015,England (not London)
Coaches,4Euro III,3,Standard,0.1969643553830152,B164,D164,NOx,2015,England (not London)
Coaches,5Euro IV,4,Standard,0.14784020636813786,B165,D165,NOx,2015,England (not London)
Coaches,6Euro V_EGR,5,EGR,0.09582290998141939,B166,D166,NOx,2015,England (not London)
Coaches,7Euro V_SCR,5,SCR,0.28746872994425815,B167,D167,NOx,2015,England (not London)
Coaches,8Euro VI,6,Standard,0.259416446147244,B168,D168,NOx,2015,England (not London)
Coaches,9Euro II SCRRF,2,SCR,0.0,B169,D169,NOx,2015,England (not London)
Coaches,10Euro III SCRRF,3,SCR,0.0,B170,D170,NOx,2015,England (not London)
Coaches,11Euro IV SCRRF,4,SCR,0.0,B171,D171,NOx,2015,England (not London)
Coaches,12Euro V EGR + SCRRF,5,EGR + SCRRF,0.0,B172,D172,NOx,2015,England (not London)
Full Hybrid Petrol Car,1Pre-Euro 1,0,Standard,0.0,B218,D218,NOx,2015,England (not London)
Full Hybrid Petrol Car,4Euro 3,3,Standard,0.011042674964819442,B219,D219,NOx,2015,England (not London)
Full Hybrid Petrol Car,5Euro 4,4,Standard,0.1926729174937805,B220,D220,NOx,2015,England (not London)
Full Hybrid Petrol Car,6Euro 5,5,Standard,0.5842585545028728,B221,D221,NOx,2015,England (not London)
Full Hybrid Petrol Car,7Euro 6,6,Standard,0.21202585303852733,B222,D222,NOx,2015,England (not London)
Full Hybrid Petrol Car,7Euro 6c,6,c,0.0,B223,D223,NOx,2015,England (not London)
Plugin Hybrid Petrol Car,1Pre-Euro 1,0,Standard,0.0,B226,D226,NOx,2015,England (not London)
