vehicle,euroclass,poltype,proportion,year,area
Hybrid Buses - Double Decker,0,NOx,0.0,2015,England (not London)
Hybrid Buses - Double Decker,0,PM,0.0,2015,England (not London)
Hybrid Buses - Double Decker,1,NOx,0.0,2015,England (not London)
Hybrid Buses - Double Decker,1,PM,0.0,2015,England (not London)
Hybrid Buses - Double Decker,2,NOx,0.0,2015,England (not London)
Hybrid Buses - Double Decker,2,PM,0.0,2015,England (not London)
Hybrid Buses - Double Decker,3,NOx,0.0,2015,England (not London)
Hybrid Buses - Double Decker,3,PM,0.0,2015,England (not London)
Hybrid Buses - Double Decker,4,NOx,0.0,2015,England (not London)
Hybrid Buses - Double Decker,4,PM,0.0,2015,England (not London)
Hybrid Buses - Double Decker,5,NOx,0.8158376117087706,2015,England (not London)
Hybrid Buses - Double Decker,5,PM,0.8158376117087706,2015,England (not London)
Hybrid Buses - Double Decker,6,NOx,0.18416238829122955,2015,England (not London)
Hybrid Buses - Double Decker,6,PM,0.18416238829122955,2015,England (not London)
LPG LGV,0,NOx,0.0,2015,England (not London)
LPG LGV,0,PM,0.0,2015,England (not London)
LPG LGV,1,NOx,0.01073419301136428,2015,England (not London)
LPG LGV,1,PM,0.01073419301136428,2015,England (not London)
LPG LGV,2,NOx,0.06595080265912742,2015,England (not London)
LPG LGV,2,PM,0.06595080265912742,2015,England (not London)
LPG LGV,3,NOx,0.2391008657504153,2015,England (not London)
LPG LGV,3,PM,0.2391008657504153,2015,England (not London)
LPG LGV,4,NOx,0.3042113417975898,2015,England (not London)
LPG LGV,4,PM,0.3042113417975898,2015,England (not London)
LPG LGV,5,NOx,0.3800027967815032,2015,England (not London)
LPG LGV,5,PM,0.3800027967815032,2015,England (not London)
LPG LGV,6,NOx,0.0,2015,England (not London)
LPG LGV,6,PM,0.0,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,0,NOx,0.017308110552659132,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,0,PM,0.017308110552659132,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,1,NOx,0.10984056089313828,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,1,PM,0.10984056089313828,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2,NOx,0.0728689228899274,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,2,PM,0.0728689228899274,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,3,NOx,0.7999824056642753,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,3,PM,0.7999824056642753,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,4,NOx,0.0,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,4,PM,0.0,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,5,NOx,0.0,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,5,PM,0.0,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,6,NOx,0.0,2015,England (not London)
Motorcycle - 2-stroke - 50-100cc,6,PM,0.0,2015,England (not London)
LPG Car,0,NOx,0.0,2015,England (not London)
LPG Car,0,PM,0.0,2015,England (not London)
LPG Car,1,NOx,0.0020087258069646807,2015,England (not London)
LPG Car,1,PM,0.0020087258069646807,2015,England (not London)
LPG Car,2,NOx,0.023167038988064572,2015,England (not London)
LPG Car,2,PM,0.023167038988064572,2015,England (not London)
LPG Car,3,NOx,0.20722959517877151,2015,England (not London)
LPG Car,3,PM,0.20722959517877151,2015,England (not London)
LPG Car,4,NOx,0.2935948822973421,2015,England (not London)
LPG Car,4,PM,0.2935948822973421,2015,England (not London)
LPG Car,5,NOx,0.3972753995292053,2015,England (not London)
LPG Car,5,PM,0.3972753995292053,2015,England (not London)
LPG Car,6,NOx,0.0767243581996517,2015,England (not London)
LPG Car,6,PM,0.0767243581996517,2015,England (not London)
Hybrid Buses - Single Decker,0,NOx,0.0,2015,England (not London)
Hybrid Buses - Single Decker,0,PM,0.0,2015,England (not London)
Hybrid Buses - Single Decker,1,NOx,0.0,2015,England (not London)
Hybrid Buses - Single Decker,1,PM,0.0,2015,England (not London)
Hybrid Buses - Single Decker,2,NOx,0.0,2015,England (not London)
Hybrid Buses - Single Decker,2,PM,0.0,2015,England (not London)
Hybrid Buses - Single Decker,3,NOx,0.0,2015,England (not London)
Hybrid Buses - Single Decker,3,PM,0.0,2015,England (not London)
Hybrid Buses - Single Decker,4,NOx,0.0,2015,England (not London)
Hybrid Buses - Single Decker,4,PM,0.0,2015,England (not London)
Hybrid Buses - Single Decker,5,NOx,0.8158376117087706,2015,England (not London)
Hybrid Buses - Single Decker,5,PM,0.8158376117087706,2015,England (not London)
Hybrid Buses - Single Decker,6,NOx,0.18416238829122955,2015,England (not London)
Hybrid Buses - Single Decker,6,PM,0.18416238829122955,2015,England (not London)
Biodiesel Buses,0,NOx,0.0,2015,England (not London)
Biodiesel Buses,0,PM,0.0,2015,England (not London)
Biodiesel Buses,1,NOx,0.0,2015,England (not London)
Biodiesel Buses,1,PM,0.0,2015,England (not London)
Biodiesel Buses,2,NOx,0.012487352175925193,2015,England (not London)
Biodiesel Buses,2,PM,0.012487352175925193,2015,England (not London)
Biodiesel Buses,3,NOx,0.19696435538301524,2015,England (not London)
Biodiesel Buses,3,PM,0.19696435538301524,2015,England (not London)
Biodiesel Buses,4,NOx,0.14784020636813788,2015,England (not London)
Biodiesel Buses,4,PM,0.14784020636813788,2015,England (not London)
