year,area,euro,version,speed,vehicle,type,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
2016,Scotland,0,7.4,5,Artic HGV,Motorway (not London),0.00761536788195,0.000343445455655,0.000318560516462
2016,Scotland,0,7.4,5,B100 Artic HGV,Motorway (not London),0.00667868088931,3.63980361726e-05,2.68654639513e-05
2016,Scotland,0,7.4,5,B100 Bus,Motorway (not London),0.0045799841173,2.70554410235e-05,1.88185531442e-05
2016,Scotland,0,7.4,5,B100 Coach,Motorway (not London),0.00632201088592,5.18123997608e-05,4.23376659455e-05
2016,Scotland,0,7.4,5,B100 Rigid HGV,Motorway (not London),0.00409103464335,2.65182625299e-05,1.85938242794e-05
2016,Scotland,0,7.4,5,Battery EV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,5,Battery EV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,5,Biogas Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,5,Biomethane Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,5,Bus and Coach,Motorway (not London),0.00714277615771,0.00033266475657,0.000309147406369
2016,Scotland,0,7.4,5,CNG Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,5,Diesel Car,Motorway (not London),0.000252632598858,8.33904196043e-05,7.77568493504e-05
2016,Scotland,0,7.4,5,E85 Bioethanol Cars,Motorway (not London),0.000435792579083,4.49569142802e-06,2.80685890175e-06
2016,Scotland,0,7.4,5,E85 Bioethanol LGV,Motorway (not London),0.000550748081878,5.63927460462e-06,3.5439122712e-06
2016,Scotland,0,7.4,5,FCEV Bus,Motorway (not London),0.0,1.79672515515e-05,1.018477451e-05
2016,Scotland,0,7.4,5,FCEV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,5,FCEV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,5,Full Hybrid Diesel Cars,Motorway (not London),0.00027608484379,1.42747267091e-05,1.20969425552e-05
2016,Scotland,0,7.4,5,Full Hybrid Petrol Cars,Motorway (not London),0.000217896289541,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,5,Full Hybrid Petrol LGV,Motorway (not London),1.35751561174e-05,5.42490988664e-06,3.34026572091e-06
2016,Scotland,0,7.4,5,Hybrid Bus,Motorway (not London),0.00397092988715,3.7766447349e-05,2.89940089715e-05
2016,Scotland,0,7.4,5,LGV,Motorway (not London),0.001057997928,6.51545051369e-05,6.00833773206e-05
2016,Scotland,0,7.4,5,LPG Cars,Motorway (not London),8.80555526237e-05,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,5,LPG LGV,Motorway (not London),0.000261580717051,5.74579553358e-06,3.64510697182e-06
2016,Scotland,0,7.4,5,Motorcycle,Motorway (not London),3.17573430948e-05,5.02181865158e-06,4.15230806539e-06
2016,Scotland,0,7.4,5,Petrol Car,Motorway (not London),0.000435792579083,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,5,Plug-In Hybrid Petrol Cars,Motorway (not London),4.35792571807e-05,4.12286863138e-06,2.4526773359e-06
2016,Scotland,0,7.4,5,Plug-In Hybrid Petrol LGV,Motorway (not London),8.46194088808e-05,5.23437302036e-06,3.15925581162e-06
2016,Scotland,0,7.4,5,Rigid HGV,Motorway (not London),0.00476405210793,0.000263716385234,0.000243932023295
2016,Scotland,0,7.4,6,Artic HGV,Motorway (not London),0.00761536788195,0.000343445455655,0.000318560516462
2016,Scotland,0,7.4,6,B100 Artic HGV,Motorway (not London),0.00667868088931,3.63980361726e-05,2.68654639513e-05
2016,Scotland,0,7.4,6,B100 Bus,Motorway (not London),0.0045799841173,2.70554410235e-05,1.88185531442e-05
2016,Scotland,0,7.4,6,B100 Coach,Motorway (not London),0.00632201088592,5.18123997608e-05,4.23376659455e-05
2016,Scotland,0,7.4,6,B100 Rigid HGV,Motorway (not London),0.00409103464335,2.65182625299e-05,1.85938242794e-05
2016,Scotland,0,7.4,6,Battery EV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,6,Battery EV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,6,Biogas Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,6,Biomethane Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,6,Bus and Coach,Motorway (not London),0.00714277615771,0.00033266475657,0.000309147406369
2016,Scotland,0,7.4,6,CNG Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,6,Diesel Car,Motorway (not London),0.000252632598858,8.33904196043e-05,7.77568493504e-05
2016,Scotland,0,7.4,6,E85 Bioethanol Cars,Motorway (not London),0.000435792579083,4.49569142802e-06,2.80685890175e-06
2016,Scotland,0,7.4,6,E85 Bioethanol LGV,Motorway (not London),0.000550748081878,5.63927460462e-06,3.5439122712e-06
2016,Scotland,0,7.4,6,FCEV Bus,Motorway (not London),0.0,1.79672515515e-05,1.018477451e-05
