Vehicle sub-category,Motorcycles,Cars,Taxis,LGVs,Buses and coaches,Rigid HGVs 2 axles,Rigid HGVs 3 axles,Rigid HGVs 4+ axles,Artic HGVs 3&4 axles,Artic HGVs 5 axles,Artic HGVs 6+ axles
EN0001,0,0,0,0,0,0,0,0,0,0,0
EN0002,0,0,0,0,0,0,0,0,0,0,0
EN0003,0,0,0,0,0,0,0,0,0,0,0
EN0004,0,0,0,0,0,0,0,0,0,0,0
EN0005,0,0,0,0,0,0,0,0,0,0,0
EN0006,0,0,0,0,0,0,0,0,0,0,0
EN0007,0,0.261348287,0,0,0,0,0,0,0,0,0
EN0008,0,0.213630428,0,0,0,0,0,0,0,0,0
EN0009,0,5.67E-02,0,0,0,0,0,0,0,0,0
EN0010,0,2.691960718,0,0,0,0,0,0,0,0,0
EN0011,0,2.200453376,0,0,0,0,0,0,0,0,0
EN0012,0,0.584347984,0,0,0,0,0,0,0,0,0
EN0013,0,5.897054256,0,0,0,0,0,0,0,0,0
EN0014,0,4.820350036,0,0,0,0,0,0,0,0,0
EN0015,0,1.280082485,0,0,0,0,0,0,0,0,0
EN0016,0,8.513438411,0,0,0,0,0,0,0,0,0
EN0017,0,6.959025875,0,0,0,0,0,0,0,0,0
EN0018,0,1.848024951,0,0,0,0,0,0,0,0,0
EN0019,0,4.980409476,0,0,0,0,0,0,0,0,0
EN0020,0,4.071069377,0,0,0,0,0,0,0,0,0
EN0021,0,1.081105017,0,0,0,0,0,0,0,0,0
EN0022,0,3.055980055,0,0,0,0,0,0,0,0,0
EN0023,0,2.498008824,0,0,0,0,0,0,0,0,0
EN0024,0,0.663366212,0,0,0,0,0,0,0,0,0
EN0025,0,0,0,0,0,0,0,0,0,0,0
EN0026,0,0,0,0,0,0,0,0,0,0,0
EN0027,0,0,0,0,0,0,0,0,0,0,0
EN0028,0,0,0,0,0,0,0,0,0,0,0
EN0029,0,0,0,0,0,0,0,0,0,0,0
