Vehicle sub-category,Vehicle sub-category description,Vehicle category,Vehicle cat,Vehicle,Euro Class Name,Euro Class,Weight
EN0001,Petrol Car - Pre-Euro 1 - <1400,2. Petrol Cars,Cars,Petrol Car,Pre-Euro 1,0,<1400 cc
EN0002,Petrol Car - Pre-Euro 1 - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Pre-Euro 1,0,1400-2000 cc
EN0003,Petrol Car - Pre-Euro 1 - >2000,2. Petrol Cars,Cars,Petrol Car,Pre-Euro 1,0,>2000 cc
EN0004,Petrol Car - Euro 1 - <1400,2. Petrol Cars,Cars,Petrol Car,Euro 1,1,<1400 cc
EN0005,Petrol Car - Euro 1 - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Euro 1,1,1400-2000 cc
EN0006,Petrol Car - Euro 1 - >2000,2. Petrol Cars,Cars,Petrol Car,Euro 1,1,>2000 cc
EN0007,Petrol Car - Euro 2 - <1400,2. Petrol Cars,Cars,Petrol Car,Euro 2,2,<1400 cc
EN0008,Petrol Car - Euro 2 - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Euro 2,2,1400-2000 cc
EN0009,Petrol Car - Euro 2 - >2000,2. Petrol Cars,Cars,Petrol Car,Euro 2,2,>2000 cc
EN0010,Petrol Car - Euro 3 - <1400,2. Petrol Cars,Cars,Petrol Car,Euro 3,3,<1400 cc
EN0011,Petrol Car - Euro 3 - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Euro 3,3,1400-2000 cc
EN0012,Petrol Car - Euro 3 - >2000,2. Petrol Cars,Cars,Petrol Car,Euro 3,3,>2000 cc
EN0013,Petrol Car - Euro 4 - <1400,2. Petrol Cars,Cars,Petrol Car,Euro 4,4,<1400 cc
EN0014,Petrol Car - Euro 4 - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Euro 4,4,1400-2000 cc
EN0015,Petrol Car - Euro 4 - >2000,2. Petrol Cars,Cars,Petrol Car,Euro 4,4,>2000 cc
EN0016,Petrol Car - Euro 5 - <1400,2. Petrol Cars,Cars,Petrol Car,Euro 5,5,<1400 cc
EN0017,Petrol Car - Euro 5 - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Euro 5,5,1400-2000 cc
EN0018,Petrol Car - Euro 5 - >2000,2. Petrol Cars,Cars,Petrol Car,Euro 5,5,>2000 cc
EN0019,Petrol Car - Euro 6 - <1400,2. Petrol Cars,Cars,Petrol Car,Euro 6,6,<1400 cc
EN0020,Petrol Car - Euro 6 - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Euro 6,6,1400-2000 cc
EN0021,Petrol Car - Euro 6 - >2000,2. Petrol Cars,Cars,Petrol Car,Euro 6,6,>2000 cc
EN0022,Petrol Car - Euro 6c - <1400,2. Petrol Cars,Cars,Petrol Car,Euro 6c,6,<1400 cc
EN0023,Petrol Car - Euro 6c - 1400-2000,2. Petrol Cars,Cars,Petrol Car,Euro 6c,6,1400-2000 cc
EN0024,Petrol Car - Euro 6c - >2000,2. Petrol Cars,Cars,Petrol Car,Euro 6c,6,>2000 cc
EN0025,Diesel Car - Pre-Euro 1 - <1400,3. Diesel Cars,Cars,Diesel Car,Pre-Euro 1,0,<1400 cc
EN0026,Diesel Car - Pre-Euro 1 - 1400-2000,3. Diesel Cars,Cars,Diesel Car,Pre-Euro 1,0,1400-2000 cc
EN0027,Diesel Car - Pre-Euro 1 - >2000,3. Diesel Cars,Cars,Diesel Car,Pre-Euro 1,0,>2000 cc
EN0028,Diesel Car - Euro 1 - <1400,3. Diesel Cars,Cars,Diesel Car,Euro 1,1,<1400 cc
EN0029,Diesel Car - Euro 1 - 1400-2000,3. Diesel Cars,Cars,Diesel Car,Euro 1,1,1400-2000 cc
EN0030,Diesel Car - Euro 1 - >2000,3. Diesel Cars,Cars,Diesel Car,Euro 1,1,>2000 cc
EN0031,Diesel Car - Euro 2 - <1400,3. Diesel Cars,Cars,Diesel Car,Euro 2,2,<1400 cc
EN0032,Diesel Car - Euro 2 - 1400-2000,3. Diesel Cars,Cars,Diesel Car,Euro 2,2,1400-2000 cc
EN0033,Diesel Car - Euro 2 - >2000,3. Diesel Cars,Cars,Diesel Car,Euro 2,2,>2000 cc
EN0034,Diesel Car - Euro 3 - <1400,3. Diesel Cars,Cars,Diesel Car,Euro 3,3,<1400 cc
EN0035,Diesel Car - Euro 3 - 1400-2000,3. Diesel Cars,Cars,Diesel Car,Euro 3,3,1400-2000 cc
EN0036,Diesel Car - Euro 3 - >2000,3. Diesel Cars,Cars,Diesel Car,Euro 3,3,>2000 cc
EN0037,Diesel Car - Euro 4 - <1400,3. Diesel Cars,Cars,Diesel Car,Euro 4,4,<1400 cc
EN0038,Diesel Car - Euro 4 - 1400-2000,3. Diesel Cars,Cars,Diesel Car,Euro 4,4,1400-2000 cc
EN0039,Diesel Car - Euro 4 - >2000,3. Diesel Cars,Cars,Diesel Car,Euro 4,4,>2000 cc
