,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
0,2013,0,7.0,5,1. Motorcycles,2.94697497338e-06,4.86549254219e-07,3.999419107e-07
1,2013,0,7.0,5,2. Petrol Cars,1.8245249521e-05,3.50426716977e-07,1.97682851422e-07
2,2013,0,7.0,5,3. Diesel Cars,1.05646358861e-05,3.70843667952e-06,3.38779227604e-06
3,2013,0,7.0,5,4. LGV,4.41088741354e-05,3.01933687297e-06,2.67686186817e-06
4,2013,0,7.0,5,5. Buses and Coaches,0.000267976574833,1.76412158908e-05,1.61758471222e-05
5,2013,0,7.0,5,6. Rigid HGVs,0.000188724923646,1.14146487249e-05,1.02761159724e-05
6,2013,0,7.0,5,7. Articulated HGVs,0.000314878183417,1.50584237417e-05,1.36698936331e-05
7,2013,0,7.0,10,1. Motorcycles,2.68546318694e-06,4.86549254219e-07,3.999419107e-07
8,2013,0,7.0,10,2. Petrol Cars,1.82448438864e-05,3.50405599647e-07,1.97662799906e-07
9,2013,0,7.0,10,3. Diesel Cars,1.05646358861e-05,3.70843667952e-06,3.38779227604e-06
10,2013,0,7.0,10,4. LGV,4.41088741354e-05,3.01933687297e-06,2.67686186817e-06
11,2013,0,7.0,10,5. Buses and Coaches,0.000267976574833,1.76412158908e-05,1.61758471222e-05
12,2013,0,7.0,10,6. Rigid HGVs,0.000188724923646,1.14146487249e-05,1.02761159724e-05
13,2013,0,7.0,10,7. Articulated HGVs,0.000314878183417,1.50584237417e-05,1.36698936331e-05
14,2013,0,7.0,15,1. Motorcycles,2.4882310754e-06,4.86549254219e-07,3.999419107e-07
15,2013,0,7.0,15,2. Petrol Cars,1.86830638995e-05,3.50389939285e-07,1.97647921141e-07
16,2013,0,7.0,15,3. Diesel Cars,9.83477639238e-06,3.38131076205e-06,3.0770227113e-06
17,2013,0,7.0,15,4. LGV,3.88413427572e-05,2.98875602311e-06,2.64781010628e-06
18,2013,0,7.0,15,5. Buses and Coaches,0.000226675358135,1.39326821227e-05,1.26527411339e-05
19,2013,0,7.0,15,6. Rigid HGVs,0.000167047182913,9.86964641925e-06,8.80836432771e-06
20,2013,0,7.0,15,7. Articulated HGVs,0.000284782465314,1.35853779284e-05,1.22704996102e-05
21,2013,0,7.0,20,1. Motorcycles,2.35300149143e-06,4.86549254219e-07,3.999419107e-07
22,2013,0,7.0,20,2. Petrol Cars,1.91811723198e-05,3.5037871271e-07,1.97637248789e-07
23,2013,0,7.0,20,3. Diesel Cars,9.17009401746e-06,3.08072708322e-06,2.79146820503e-06
24,2013,0,7.0,20,4. LGV,3.40128935932e-05,2.96496364172e-06,2.62520734395e-06
25,2013,0,7.0,20,5. Buses and Coaches,0.000191991362954,1.11051358545e-05,9.96657217911e-06
26,2013,0,7.0,20,6. Rigid HGVs,0.000143864745041,8.21179037302e-06,7.23340099285e-06
27,2013,0,7.0,20,7. Articulated HGVs,0.000249485834502,1.15844659376e-05,1.03696338556e-05
28,2013,0,7.0,25,1. Motorcycles,2.27773762163e-06,4.86549254219e-07,3.999419107e-07
29,2013,0,7.0,25,2. Petrol Cars,1.97391400434e-05,3.50370953583e-07,1.97629873355e-07
30,2013,0,7.0,25,3. Diesel Cars,8.57039685798e-06,2.80668382402e-06,2.53112716564e-06
31,2013,0,7.0,25,4. LGV,2.96235193673e-05,2.94795927402e-06,2.60905312643e-06
